input.bin       input      output.bin      output    
1011_000000   -5.000000    1_000000000   -1.000000
1011_010000   -4.750000    1_000000000   -1.000000    
1011_100000   -4.500000    1_000000000   -1.000000    
1011_110000   -4.250000    1_000000001   -0.998047    
1100_000000   -4.000000    1_000000001   -0.998047 
1100_010000   -3.750000    1_000000011   -0.994141  
1100_100000   -3.500000    1_000000010   -0.996094  
1100_110000   -3.250000    1_000001100   -0.988281     
1101_000000   -3.000000    1_000000100   -0.992188    
1101_010000   -2.750000    1_000001100   -0.976563    
1101_100000   -2.500000    1_000001000   -0.984375    
1101_110000   -2.250000    1_000011000   -0.953125    
1110_000000   -2.000000    1_000010000   -0.968750    
1110_010000   -1.750000    1_000110000   -0.906250    
1110_100000   -1.500000    1_000100000   -0.937500    
1110_110000   -1.250000    1_001100000   -0.812500    
1111_000000   -1.000000    1_001000000   -0.875000    
1111_010000   -0.750000    1_011000000   -0.625000    
1111_100000   -0.500000    1_010000000   -0.750000    
1111_110000   -0.250000    1_110000000   -0.250000    
0000_000000    0.000000    0_000000000    0.000000    
0000_010000    0.250000    0_010000000    0.250000    
0000_100000    0.500000    0_100000000    0.500000    
0000_110000    0.750000    0_101000000    0.625000    
0001_000000    1.000000    0_110000000    0.750000    
0001_010000    1.250000    0_110100000    0.812500    
0001_100000    1.500000    0_111000000    0.875000    
0001_110000    1.750000    0_111010000    0.906250    
0010_000000    2.000000    0_111100000    0.937500    
0010_010000    2.250000    0_111101000    0.953125    
0010_100000    2.500000    0_111110000    0.968750    
0010_110000    2.750000    0_111110100    0.976563    
0011_000000    3.000000    0_111111000    0.984375    
0011_010000    3.250000    0_111111010    0.988281    
0011_100000    3.500000    0_111111100    0.992188    
0011_110000    3.750000    0_111111101    0.994141    
0100_000000    4.000000    0_111111110    0.996094    
0100_010000    4.250000    0_111111110    0.996094    
0100_100000    4.500000    0_111111111    0.998047    
0100_110000    4.750000    0_111111111    0.998047  
0101_000000    5.000000    0_111111111    0.998047
