         ps       /shift_PLA_tb/out                
          delta               /shift_PLA_tb/in     
          0  +0          xxxxxxxxxx xxxxxxxxxx 
         10  +0          xxxxxxxxxx 1011000000 
         10  +1          1000000000 1011000000 
         20  +0          1000000000 1011010000 
         30  +0          1000000000 1011100000 
         40  +0          1000000000 1011110000 
         40  +1          1000000001 1011110000 
         50  +0          1000000001 1100000000 
         60  +0          1000000001 1100010000 
         60  +1          1000000011 1100010000 
         70  +0          1000000011 1100100000 
         70  +1          1000000010 1100100000 
         80  +0          1000000010 1100110000 
         80  +1          1000000110 1100110000 
         90  +0          1000000110 1101000000 
         90  +1          1000000100 1101000000 
        100  +0          1000000100 1101010000 
        100  +1          1000001100 1101010000 
        110  +0          1000001100 1101100000 
        110  +1          1000001000 1101100000 
        120  +0          1000001000 1101110000 
        120  +1          1000011000 1101110000 
        130  +0          1000011000 1110000000 
        130  +1          1000010000 1110000000 
        140  +0          1000010000 1110010000 
        140  +1          1000110000 1110010000 
        150  +0          1000110000 1110100000 
        150  +1          1000100000 1110100000 
        160  +0          1000100000 1110110000 
        160  +1          1001100000 1110110000 
        170  +0          1001100000 1111000000 
        170  +1          1001000000 1111000000 
        180  +0          1001000000 1111010000 
        180  +1          1011000000 1111010000 
        190  +0          1011000000 1111100000 
        190  +1          1010000000 1111100000 
        200  +0          1010000000 1111110000 
        200  +1          1110000000 1111110000 
        210  +0          1110000000 0000000000 
        210  +1          0100000000 0000000000 
        220  +0          0100000000 0000010000 
        220  +1          0101000000 0000010000 
        230  +0          0101000000 0000100000 
        230  +1          0110000000 0000100000 
        240  +0          0110000000 0000110000 
        240  +1          0110100000 0000110000 
        250  +0          0110100000 0001000000 
        250  +1          0111000000 0001000000 
        260  +0          0111000000 0001010000 
        260  +1          0111010000 0001010000 
        270  +0          0111010000 0001100000 
        270  +1          0111100000 0001100000 
        280  +0          0111100000 0001110000 
        280  +1          0111101000 0001110000 
        290  +0          0111101000 0010000000 
        290  +1          0111110000 0010000000 
        300  +0          0111110000 0010010000 
        300  +1          0111110100 0010010000 
        310  +0          0111110100 0010100000 
        310  +1          0111111000 0010100000 
        320  +0          0111111000 0010110000 
        320  +1          0111111010 0010110000 
        330  +0          0111111010 0011000000 
        330  +1          0111111100 0011000000 
        340  +0          0111111100 0011010000 
        340  +1          0111111101 0011010000 
        350  +0          0111111101 0011100000 
        350  +1          0111111110 0011100000 
        360  +0          0111111110 0011110000 
        370  +0          0111111110 0100000000 
        370  +1          0111111111 0100000000 
        380  +0          0111111111 0100010000 
        390  +0          0111111111 0100100000 
        400  +0          0111111111 0100110000 
